Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-05 10:30:00-04:00,89.9800033569336,89.9800033569336,87.12000274658203,88.48999786376953,15012,0.0,0.0
2023-10-05 11:30:00-04:00,89.06999969482422,89.06999969482422,86.75,86.75,8383,0.0,0.0
2023-10-05 12:30:00-04:00,87.4000015258789,87.4000015258789,85.25,85.9800033569336,6359,0.0,0.0
2023-10-05 13:30:00-04:00,86.0999984741211,86.875,85.08999633789062,85.88999938964844,10755,0.0,0.0
2023-10-05 14:30:00-04:00,85.56999969482422,86.62999725341797,85.42500305175781,85.9800033569336,11488,0.0,0.0
2023-10-05 15:30:00-04:00,85.66999816894531,86.01000213623047,85.01000213623047,85.43000030517578,14564,0.0,0.0
2023-10-06 09:30:00-04:00,85.19999694824219,87.0,84.63999938964844,85.94999694824219,9977,0.0,0.0
2023-10-06 10:30:00-04:00,85.88999938964844,86.38999938964844,85.0,85.375,9638,0.0,0.0
2023-10-06 11:30:00-04:00,85.9800033569336,88.37000274658203,85.96499633789062,86.41999816894531,13755,0.0,0.0
2023-10-06 12:30:00-04:00,86.5,86.79000091552734,85.80000305175781,86.79000091552734,3694,0.0,0.0
2023-10-06 13:30:00-04:00,87.0,87.13020324707031,86.84500122070312,87.13020324707031,1759,0.0,0.0
2023-10-06 14:30:00-04:00,86.51000213623047,86.81999969482422,85.51029968261719,86.16999816894531,11114,0.0,0.0
2023-10-06 15:30:00-04:00,85.75,86.18000030517578,84.82009887695312,85.88999938964844,21614,0.0,0.0
2023-10-09 09:30:00-04:00,83.62000274658203,86.2738037109375,82.16999816894531,85.51000213623047,9152,0.0,0.0
2023-10-09 10:30:00-04:00,86.54000091552734,86.79499816894531,85.94999694824219,86.79499816894531,1975,0.0,0.0
2023-10-09 11:30:00-04:00,86.86000061035156,86.87000274658203,85.53810119628906,85.53810119628906,5223,0.0,0.0
2023-10-09 12:30:00-04:00,84.87999725341797,84.87999725341797,84.54499816894531,84.54499816894531,1570,0.0,0.0
2023-10-09 13:30:00-04:00,85.44000244140625,86.69999694824219,85.44000244140625,86.37000274658203,9177,0.0,0.0
2023-10-09 14:30:00-04:00,86.36000061035156,86.62000274658203,85.83999633789062,86.20999908447266,9083,0.0,0.0
2023-10-09 15:30:00-04:00,86.05000305175781,86.05000305175781,85.2699966430664,85.93000030517578,10597,0.0,0.0
2023-10-10 09:30:00-04:00,85.76000213623047,89.75,85.76000213623047,89.75,7615,0.0,0.0
2023-10-10 10:30:00-04:00,89.7699966430664,91.6500015258789,89.76000213623047,91.6500015258789,10698,0.0,0.0
2023-10-10 11:30:00-04:00,91.32330322265625,91.37999725341797,90.0,91.25499725341797,15805,0.0,0.0
2023-10-10 12:30:00-04:00,92.2699966430664,92.33000183105469,90.68000030517578,90.68000030517578,6453,0.0,0.0
2023-10-10 13:30:00-04:00,91.05999755859375,91.06500244140625,89.69000244140625,89.69000244140625,7408,0.0,0.0
2023-10-10 14:30:00-04:00,89.30000305175781,90.31500244140625,88.69000244140625,89.69000244140625,5903,0.0,0.0
2023-10-10 15:30:00-04:00,89.66999816894531,89.66999816894531,88.30000305175781,88.75,7502,0.0,0.0
2023-10-11 09:30:00-04:00,89.0199966430664,90.87999725341797,88.88999938964844,88.95999908447266,4522,0.0,0.0
2023-10-11 10:30:00-04:00,87.9800033569336,88.31999969482422,86.5999984741211,86.5999984741211,2617,0.0,0.0
2023-10-11 11:30:00-04:00,86.26000213623047,87.04000091552734,86.08999633789062,86.23069763183594,14430,0.0,0.0
2023-10-11 12:30:00-04:00,85.99720001220703,86.01000213623047,84.70999908447266,84.72799682617188,2794,0.0,0.0
2023-10-11 13:30:00-04:00,84.33000183105469,85.73999786376953,84.33000183105469,85.4000015258789,4373,0.0,0.0
2023-10-11 14:30:00-04:00,85.5,85.5,84.79000091552734,84.80999755859375,4004,0.0,0.0
2023-10-11 15:30:00-04:00,84.75,84.98370361328125,84.62000274658203,84.83999633789062,8280,0.0,0.0
2023-10-12 09:30:00-04:00,84.5,84.5,80.69000244140625,81.56999969482422,30313,0.0,0.0
2023-10-12 10:30:00-04:00,81.77999877929688,82.01000213623047,80.17500305175781,80.96499633789062,20347,0.0,0.0
2023-10-12 11:30:00-04:00,80.76000213623047,80.98999786376953,78.4000015258789,80.54000091552734,15880,0.0,0.0
2023-10-12 12:30:00-04:00,79.37000274658203,79.56999969482422,77.58999633789062,78.08999633789062,13951,0.0,0.0
2023-10-12 13:30:00-04:00,77.9000015258789,79.75,77.75,79.2699966430664,12707,0.0,0.0
2023-10-12 14:30:00-04:00,78.66000366210938,79.8219985961914,78.66000366210938,79.80000305175781,3802,0.0,0.0
2023-10-12 15:30:00-04:00,79.87000274658203,80.20999908447266,78.91000366210938,79.80999755859375,17321,0.0,0.0
2023-10-13 09:30:00-04:00,81.23999786376953,82.41000366210938,81.043701171875,82.0,7518,0.0,0.0
2023-10-13 10:30:00-04:00,82.01000213623047,82.87999725341797,80.9000015258789,80.91999816894531,8621,0.0,0.0
2023-10-13 11:30:00-04:00,80.51000213623047,81.8499984741211,80.26000213623047,81.80000305175781,10029,0.0,0.0
2023-10-13 12:30:00-04:00,81.55999755859375,81.55999755859375,80.95999908447266,81.0,2184,0.0,0.0
2023-10-13 13:30:00-04:00,80.67500305175781,81.45989990234375,80.67500305175781,80.69000244140625,3647,0.0,0.0
2023-10-13 14:30:00-04:00,80.87570190429688,81.16699981689453,80.37999725341797,80.37999725341797,4951,0.0,0.0
2023-10-13 15:30:00-04:00,80.32499694824219,80.37999725341797,79.58999633789062,80.0,10761,0.0,0.0
2023-10-16 09:30:00-04:00,81.13999938964844,81.19499969482422,79.30999755859375,80.20999908447266,8397,0.0,0.0
2023-10-16 10:30:00-04:00,81.0199966430664,81.19000244140625,78.88500213623047,78.88500213623047,8069,0.0,0.0
2023-10-16 11:30:00-04:00,78.61000061035156,78.94999694824219,77.0999984741211,77.52999877929688,6236,0.0,0.0
2023-10-16 12:30:00-04:00,77.66999816894531,77.94000244140625,76.30000305175781,77.66999816894531,7169,0.0,0.0
2023-10-16 13:30:00-04:00,77.30999755859375,77.7699966430664,76.75,77.53730010986328,8395,0.0,0.0
2023-10-16 14:30:00-04:00,77.83999633789062,79.48999786376953,77.83999633789062,79.2699966430664,6497,0.0,0.0
2023-10-16 15:30:00-04:00,79.47000122070312,79.47000122070312,77.83000183105469,78.47000122070312,9107,0.0,0.0
2023-10-17 09:30:00-04:00,78.02999877929688,78.97000122070312,77.2300033569336,78.97000122070312,10736,0.0,0.0
2023-10-17 10:30:00-04:00,78.97000122070312,80.0,78.97000122070312,80.0,6172,0.0,0.0
2023-10-17 11:30:00-04:00,80.18000030517578,80.6500015258789,79.86000061035156,80.11000061035156,12752,0.0,0.0
2023-10-17 12:30:00-04:00,80.16999816894531,80.70999908447266,78.87000274658203,79.5,6922,0.0,0.0
2023-10-17 13:30:00-04:00,79.77999877929688,79.79000091552734,78.19999694824219,78.19999694824219,2509,0.0,0.0
2023-10-17 14:30:00-04:00,78.42759704589844,78.66000366210938,77.66000366210938,77.83999633789062,6233,0.0,0.0
2023-10-17 15:30:00-04:00,77.91999816894531,78.06999969482422,76.9000015258789,77.01000213623047,9928,0.0,0.0
2023-10-18 09:30:00-04:00,75.69999694824219,75.69999694824219,73.20999908447266,74.97000122070312,8659,0.0,0.0
2023-10-18 10:30:00-04:00,74.95320129394531,74.95320129394531,73.38999938964844,74.12000274658203,10353,0.0,0.0
2023-10-18 11:30:00-04:00,73.5999984741211,73.75,72.45999908447266,72.81999969482422,9956,0.0,0.0
2023-10-18 12:30:00-04:00,72.5199966430664,73.80500030517578,72.4000015258789,73.19999694824219,19101,0.0,0.0
2023-10-18 13:30:00-04:00,72.94999694824219,73.37999725341797,72.5999984741211,72.81999969482422,5112,0.0,0.0
2023-10-18 14:30:00-04:00,72.95999908447266,73.69000244140625,72.6500015258789,72.65229797363281,8277,0.0,0.0
2023-10-18 15:30:00-04:00,72.83499908447266,72.97000122070312,72.51010131835938,72.5999984741211,10783,0.0,0.0
2023-10-19 09:30:00-04:00,72.18000030517578,72.6083984375,70.66500091552734,71.52999877929688,6558,0.0,0.0
2023-10-19 10:30:00-04:00,71.15170288085938,72.05000305175781,70.72000122070312,70.72000122070312,8535,0.0,0.0
2023-10-19 11:30:00-04:00,70.66000366210938,74.05999755859375,70.66000366210938,72.76000213623047,13658,0.0,0.0
2023-10-19 12:30:00-04:00,71.7300033569336,72.68000030517578,71.04499816894531,72.68000030517578,3245,0.0,0.0
2023-10-19 13:30:00-04:00,72.0199966430664,72.04000091552734,71.0999984741211,71.81999969482422,6069,0.0,0.0
2023-10-19 14:30:00-04:00,71.5,71.55999755859375,70.33000183105469,70.6500015258789,9463,0.0,0.0
2023-10-19 15:30:00-04:00,70.65499877929688,70.65499877929688,69.36000061035156,70.05000305175781,13789,0.0,0.0
2023-10-20 09:30:00-04:00,70.12000274658203,70.30000305175781,68.23999786376953,68.33000183105469,17827,0.0,0.0
2023-10-20 10:30:00-04:00,68.33999633789062,69.28500366210938,68.05000305175781,68.76499938964844,6678,0.0,0.0
2023-10-20 11:30:00-04:00,68.76000213623047,69.54000091552734,68.76000213623047,68.88099670410156,3775,0.0,0.0
