Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-30 00:00:00-04:00,10.149999618530273,10.890000343322754,9.800000190734863,10.390000343322754,84100,0.0,0.0
2019-10-01 00:00:00-04:00,10.380000114440918,10.779999732971191,10.100000381469727,10.430000305175781,42400,0.0,0.0
2019-10-02 00:00:00-04:00,10.430000305175781,10.430000305175781,9.770000457763672,10.170000076293945,115800,0.0,0.0
2019-10-03 00:00:00-04:00,10.0,10.680000305175781,10.0,10.609999656677246,32500,0.0,0.0
2019-10-04 00:00:00-04:00,10.59000015258789,11.984999656677246,10.59000015258789,11.510000228881836,98300,0.0,0.0
2019-10-07 00:00:00-04:00,11.5,12.369999885559082,11.300000190734863,12.279999732971191,89600,0.0,0.0
2019-10-08 00:00:00-04:00,12.180000305175781,12.350000381469727,11.272000312805176,11.350000381469727,58200,0.0,0.0
2019-10-09 00:00:00-04:00,11.449999809265137,11.89900016784668,11.414999961853027,11.710000038146973,79100,0.0,0.0
2019-10-10 00:00:00-04:00,11.720000267028809,11.880000114440918,11.149999618530273,11.319999694824219,75700,0.0,0.0
2019-10-11 00:00:00-04:00,11.40999984741211,11.5,11.0,11.079999923706055,69000,0.0,0.0
2019-10-14 00:00:00-04:00,11.050000190734863,11.354999542236328,10.975000381469727,11.029999732971191,46800,0.0,0.0
2019-10-15 00:00:00-04:00,11.079999923706055,11.3100004196167,10.979999542236328,11.270000457763672,47900,0.0,0.0
2019-10-16 00:00:00-04:00,11.25,11.329999923706055,11.079999923706055,11.199999809265137,18200,0.0,0.0
2019-10-17 00:00:00-04:00,11.260000228881836,11.949999809265137,11.128999710083008,11.369999885559082,59700,0.0,0.0
2019-10-18 00:00:00-04:00,11.380000114440918,11.619999885559082,11.170000076293945,11.510000228881836,69100,0.0,0.0
2019-10-21 00:00:00-04:00,11.5,11.65999984741211,11.399999618530273,11.470000267028809,43600,0.0,0.0
2019-10-22 00:00:00-04:00,11.420000076293945,11.619999885559082,11.142000198364258,11.149999618530273,36100,0.0,0.0
2019-10-23 00:00:00-04:00,11.149999618530273,11.149999618530273,10.010000228881836,10.279999732971191,116100,0.0,0.0
2019-10-24 00:00:00-04:00,10.149999618530273,10.40999984741211,10.0,10.279999732971191,29600,0.0,0.0
2019-10-25 00:00:00-04:00,10.260000228881836,10.699999809265137,9.890000343322754,9.899999618530273,96100,0.0,0.0
2019-10-28 00:00:00-04:00,9.890000343322754,10.180000305175781,9.350000381469727,9.460000038146973,188400,0.0,0.0
2019-10-29 00:00:00-04:00,9.40999984741211,9.75,9.069999694824219,9.289999961853027,100000,0.0,0.0
2019-10-30 00:00:00-04:00,9.279999732971191,9.489999771118164,9.069999694824219,9.489999771118164,80700,0.0,0.0
2019-10-31 00:00:00-04:00,9.569999694824219,9.770000457763672,9.390000343322754,9.579999923706055,23100,0.0,0.0
2019-11-01 00:00:00-04:00,9.5,9.779999732971191,9.300000190734863,9.40999984741211,47100,0.0,0.0
2019-11-04 00:00:00-05:00,9.430000305175781,9.567999839782715,8.960000038146973,9.399999618530273,168300,0.0,0.0
2019-11-05 00:00:00-05:00,11.5,13.59000015258789,10.899999618530273,13.010000228881836,1223000,0.0,0.0
2019-11-06 00:00:00-05:00,12.979999542236328,13.088000297546387,11.819999694824219,11.930000305175781,317600,0.0,0.0
2019-11-07 00:00:00-05:00,11.579999923706055,12.975000381469727,11.329999923706055,12.319999694824219,321600,0.0,0.0
2019-11-08 00:00:00-05:00,12.59000015258789,16.280000686645508,12.520000457763672,15.819999694824219,768400,0.0,0.0
2019-11-11 00:00:00-05:00,16.0,16.5,14.539999961853027,14.850000381469727,586000,0.0,0.0
2019-11-12 00:00:00-05:00,14.850000381469727,15.678999900817871,13.069999694824219,13.65999984741211,541700,0.0,0.0
2019-11-13 00:00:00-05:00,13.649999618530273,14.489999771118164,13.130000114440918,13.640000343322754,366600,0.0,0.0
2019-11-14 00:00:00-05:00,11.199999809265137,12.149999618530273,10.550000190734863,11.109999656677246,2615200,0.0,0.0
2019-11-15 00:00:00-05:00,11.119999885559082,11.489999771118164,10.526000022888184,10.680000305175781,515200,0.0,0.0
